Item,Year,Value
Peppermint,1990,1400
Peppermint,2000,65
Peppermint,2010,66
Peppermint,2018,31
Persimmons,1990,1040183
Persimmons,2000,2287616
Persimmons,2010,3446809
Persimmons,2018,4008231
Pigeon peas,1990,2800405
Pigeon peas,2000,3035722
Pigeon peas,2010,3304474
Pigeon peas,2018,4983699
Pineapples,1990,6236155
Pineapples,2000,7238443
Pineapples,2010,9545240
Pineapples,2018,11672846
Pistachios,1990,214101
Pistachios,2000,424760
Pistachios,2010,464338
Pistachios,2018,900606
Plantains and others,1990,752956
Plantains and others,2000,4332945
Plantains and others,2010,4713762
Plantains and others,2018,5113644
Plums and sloes,1990,1669378
Plums and sloes,2000,4736110
Plums and sloes,2010,6564144
Plums and sloes,2018,8184840
Poppy seed,1990,5153
Poppy seed,2000,12211
Poppy seed,2010,37500
Poppy seed,2018,28362
Potatoes,1990,64181929
Potatoes,2000,121491831
Potatoes,2010,153996509
Potatoes,2018,188644711
Pulses nes,1990,1466956
Pulses nes,2000,1904525
Pulses nes,2010,1534200
Pulses nes,2018,1850130
"Pumpkins, squash and gourds",1990,6666365
"Pumpkins, squash and gourds",2000,9594427
"Pumpkins, squash and gourds",2010,14807442
"Pumpkins, squash and gourds",2018,17133483
"Pyrethrum, dried",1990,0
"Pyrethrum, dried",2000,
"Pyrethrum, dried",2010,
"Pyrethrum, dried",2018,
Quinces,1990,125361
Quinces,2000,287038
Quinces,2010,371203
Quinces,2018,496068
Ramie,1990,95709
Ramie,2000,162525
Ramie,2010,191690
Ramie,2018,106753
Rapeseed,1990,11544622
Rapeseed,2000,17724891
Rapeseed,2010,20443661
Rapeseed,2018,22999430
Raspberries,2000,2700
Raspberries,2010,13300
Raspberries,2018,14825
"Rice, paddy",1990,477693369
"Rice, paddy",2000,545228893
"Rice, paddy",2010,634551225
"Rice, paddy",2018,705393401
Roots and tubers nes,1990,1038346
Roots and tubers nes,2000,1252843
Roots and tubers nes,2010,1403191
Roots and tubers nes,2018,1664483
"Rubber, natural",1990,4826842
"Rubber, natural",2000,6493973
"Rubber, natural",2010,9753237
"Rubber, natural",2018,12844441
Rye,1990,1540325
Rye,2000,1348138
Rye,2010,1050097
Rye,2018,1463161
Safflower seed,1990,486883
Safflower seed,2000,338155
Safflower seed,2010,397798
Safflower seed,2018,364101
Seed cotton,1990,26785783
Seed cotton,2000,32963954
Seed cotton,2010,50199604
Seed cotton,2018,44401506
Sesame seed,1990,1794832
Sesame seed,2000,2004159
Sesame seed,2010,2619556
Sesame seed,2018,2257030
Sisal,1990,30608
Sisal,2000,37223
Sisal,2010,16177
Sisal,2018,13358
Sorghum,1990,18571513
Sorghum,2000,11317638
Sorghum,2010,10383857
Sorghum,2018,7973788
Soybeans,1990,16961376
Soybeans,2000,23157779
Soybeans,2010,30747178
Soybeans,2018,30608520
Spices nes,1990,751299
Spices nes,2000,1193418
Spices nes,2010,2015048
Spices nes,2018,2710669
Spinach,1990,3298002
Spinach,2000,8506086
Spinach,2010,19308739
Spinach,2018,24855243
Strawberries,1990,412646
Strawberries,2000,1763098
Strawberries,2010,2587650
Strawberries,2018,3889105
String beans,1990,258739
String beans,2000,215602
String beans,2010,326409
String beans,2018,276971
Sugar beet,1990,37154377
Sugar beet,2000,37681981
Sugar beet,2010,36515290
Sugar beet,2018,41743674
Sugar cane,1990,433541956
Sugar cane,2000,552498036
Sugar cane,2010,608543610
Sugar cane,2018,751902468
Sugar crops nes,1990,727425
Sugar crops nes,2000,758000
Sugar crops nes,2010,900118
Sugar crops nes,2018,955262
Sunflower seed,1990,3347013
Sunflower seed,2000,4055189
Sunflower seed,2010,5924108
Sunflower seed,2018,6223393
Sweet potatoes,1990,113689922
Sweet potatoes,2000,125678598
Sweet potatoes,2010,73028904
Sweet potatoes,2018,60714489
Tallowtree seed,1990,770000
Tallowtree seed,2000,820000
Tallowtree seed,2010,957274
Tallowtree seed,2018,1048526
"Tangerines, mandarins, clementines, satsumas",1990,7953636
"Tangerines, mandarins, clementines, satsumas",2000,11354056
"Tangerines, mandarins, clementines, satsumas",2010,15651063
"Tangerines, mandarins, clementines, satsumas",2018,24135746
Taro (cocoyam),1990,1654141
Taro (cocoyam),2000,1930700
Taro (cocoyam),2010,2079541
Taro (cocoyam),2018,2310513
Tea,1990,1991339
Tea,2000,2693299
Tea,2010,3844900
Tea,2018,5434370
"Tobacco, unmanufactured",1990,4304952
"Tobacco, unmanufactured",2000,4264487
"Tobacco, unmanufactured",2010,4583858
"Tobacco, unmanufactured",2018,3926218
Tomatoes,1990,24686301
Tomatoes,2000,51421045
Tomatoes,2010,87131077
Tomatoes,2018,111683503
Triticale,1990,10098
Triticale,2000,365040
Triticale,2010,443695
Triticale,2018,944123
Tung nuts,1990,350770
Tung nuts,2000,453461
Tung nuts,2010,433624
Tung nuts,2018,348000
Vanilla,1990,1633
Vanilla,2000,2431
Vanilla,2010,4136
Vanilla,2018,3031
"Vegetables, fresh nes",1990,110201148
"Vegetables, fresh nes",2000,182812243
"Vegetables, fresh nes",2010,223306986
"Vegetables, fresh nes",2018,257953707
"Vegetables, leguminous nes",1990,369281
"Vegetables, leguminous nes",2000,297545
"Vegetables, leguminous nes",2010,468667
"Vegetables, leguminous nes",2018,434288
Vetches,1990,213009
Vetches,2000,174054
Vetches,2010,137640
Vetches,2018,80027
"Walnuts, with shell",1990,362016
"Walnuts, with shell",2000,657840
"Walnuts, with shell",2010,1841649
"Walnuts, with shell",2018,2348105
Watermelons,1990,21545566
Watermelons,2000,64134791
Watermelons,2010,76812366
Watermelons,2018,84209180
Wheat,1990,203062098
Wheat,2000,254662929
Wheat,2010,288324081
Wheat,2018,328220218
Yams,1990,223518
Yams,2000,226811
Yams,2010,195292
Yams,2018,178666
